Par001,170.0267046,6.5888780
Par002,177.1453720,52.7788105
Par003,150.4103959,2.4051779
Par004,186.7047854,21.6989889
Par005,150.6536983,2.0855801
Par006,150.6762156,2.1293049
Par007,102.4303092,70.3818912
Par008,170.1264772,6.7062311
Par009,183.1322959,27.4870882
Par010,205.5720258,9.3080670
Par011,204.5789783,-19.8794778
Par012,221.6227941,-23.2860626
Par013,130.5298837,1.6983955
Par014,224.3278892,24.7169779
Par015,155.4060634,18.1657443
Par016,152.6594154,-4.7508000
Par017,150.3011088,1.8910817
Par018,159.2102447,1.7162864
Par019,130.3650701,48.6033456
Par020,149.6229230,2.2251064
Par021,161.1635171,33.9294614
Par022,177.2619897,22.4367759
Par023,150.0655286,2.5519213
Par024,150.1315237,2.4996595
Par025,150.2457730,1.9774739
Par026,150.1227170,2.4398773
Par027,172.9448009,-12.3606496
Par028,150.0874070,2.4185307
Par029,150.2522872,1.7285573
Par030,216.0875674,24.2475067
Par031,187.7406477,12.5610561
Par032,180.4252837,-18.8087340
Par033,176.4223951,20.3820559
Par034,190.4031028,22.4995389
Par035,181.5579466,-8.6302916
Par036,184.2851993,2.7440134
Par037,180.3574955,2.3583209
Par038,215.1343707,53.0534482
Par039,182.9192702,-1.1318991
Par040,181.3629013,-7.5363055
Par041,191.4234497,3.5618425
Par042,195.1846319,12.5341354
Par043,213.2233645,-3.2187078
Par044,265.7442374,67.0902047
Par045,137.7250701,-4.4086121
Par046,149.3468686,2.5384074
Par047,149.4398783,2.1723808
Par048,149.4029133,1.6714444
Par049,149.7024376,2.0589467
Par050,189.1800244,62.0654165
Par051,150.5036633,2.2633940
Par052,150.1552214,2.0418390
Par053,150.1030697,1.7931779
Par054,214.5759308,52.2796828
Par055,177.4168452,22.1796794
Par056,169.9978926,6.5094453
Par057,177.4628389,22.2952512
Par058,177.5042438,22.6834367
Par059,169.9723865,6.7628474
Par060,157.5820923,5.5249115
Par061,159.1929805,-2.4619514
Par062,188.1922631,9.3749902
Par063,149.9702594,-22.8246009
